name_en,name_ko
Cynthia AS,신시아 AS
Crimson Reaper,심홍의 사자
Anabel,아나벨
Anabel AS,아나벨 AS
Anabel ES,아나벨 ES
Aisha,아이샤
Azami,아자미
Azami AS,아자미 AS
Akane,아카네
Akane AS,아카네 AS
Aldo,알도
Aldo AS,알도 AS
Alma,알마
Alma AS,알마 AS
Altena,알테나
Alphen,알펜
Ashtear,애쉬티어
Yazuki,야즈키
Yakumo,야쿠모
Yakumo AS,야쿠모 AS
Erina,에리나
Emms,에무스
Eva,에바
Esta,에스타
Amy,에이미
Asia,에이시아
Elga,엘가
Elga AS,엘가 AS
Elseal,엘실
Elseal AS,엘실 AS
Empel,엠펠
Oor,오르
Orleya,오를레아
Orleya AS,오를레아 AS
Oboro,오보로
Otoha,오토하
Otoha AS,오토하 AS
Urania,우라니아
Uuo,우오
Utpalaka,우츠하라
Uquaji,우쿠아지
Noble Blossom,꽃피우는 공주
Moonlight Flower,월화의 영애
Wenefica,웨네피카
Yuna,유나
Yuna AS,유나 AS
Yuri,유리
Yipha,유인
Ewan,유인
Yipha AS,유인 AS
Ewan AS,유인 AS
Yukino,유키노
Yukino AS,유키노 AS
Silver Striker,은빛을 휘감은 번개술사
Vermillion Whip,은주의 구미호
Selfless Seeker,의협의 사냥꾼
Id,이드
Ilulu,이루루
Ilulu AS,이루루 AS
Ewella,이벨라
Ewella AS,이벨라 AS
Isuka,이스카
Isuka AS,이스카 AS
Isuka ES,이스카 ES
Yssis,이시스
Yio,이오
Izuna,이즈나
Iphi,이프
Een,인
Beautiful Stranger,잔영의 가인
Forlorn Thespian,적막의 연기자
Virtual Reflection,전영의 샛별
Zeviro,제빌로
Zeviro AS,제빌로 AS
Jade,제이드
Joker,조커
Zilva,질버
Zilva AS,질버 AS
Jillfunny,질퍼니
Strawboy,짚돌이
Good Macky,착한 마쿠마쿠
Tsubame,츠바메
Tsubame AS,츠바메 AS
Harle,츠쿠요미
Tsukiha,츠키하
Tsukiha AS,츠키하 AS
Tsukiha ES,츠키하 ES
Chiyo,치요
Chiyo AS,치요 AS
Kagurame,카구라메
Kamlanage,캄라녜쥬
Komachi,코마치
Komachi AS,코마치 AS
Colette,콜레트
Kyo,쿄
Kuchinawa,쿠치나와
Koot,쿠트
Kula,쿨라
Krervo,쿨레르보
Krervo AS,쿨레르보 AS
Curio,큐리오
Cyuca,큐카
Ctos,크토스
Clarte,클라르테
Clarte AS,클라르테 AS
Klaudia,클라우디아
Cress,클레스
Claude,클로드
Claude AS,클로드 AS
Claude ES,클로드 ES
Kid,키드
Kikyo,키쿄
Kikyo AS,키쿄 AS
Kilqia,킬퀴어
Terry,테리
Tayme,테임
Toole,톨
Tohme,톰
Toova,투바
Toova AS,투바 AS
Toova ES,투바 ES
Tiramisu,티라미수
Tiramisu AS,티라미수 AS
Tithi,티티
Thillelille,틸릴
Thillelille AS,틸릴 AS
Thillelille ES,틸릴 ES
Partitio,파르티티오
Parisa,파리사
Parisa AS,파리사 AS
Pasia,패시아
Felmina,펠미나
Felmina AS,펠미나 AS
Felmina ES,펠미나 ES
Foran,포란
Foran AS,포란 AS
Pom,폼
Pom AS,폼 AS
Cyan Scyther,푸른 빛의 낫잡이
Cyan Scyther (Another Style),푸른 빛의 낫잡이 AS
Prai,프라이
Premaya,프레메아
Premaya AS,프레메아 AS
Flammelapis,플람라피스
Flammelapis AS,플람라피스 AS
Feinne,피네
Feinne AS,피네 AS
Pizzica,피치카
Pizzica AS,피치카 AS
Philo,필로
Philo AS,필로 AS
Hardy,하디
Hardy AS,하디 AS
Helena,헬레나
Hozuki,호오즈키
Hozuki AS,호오즈키 AS
Daisy,히나기쿠
Daisy AS,히나기쿠 AS
Hismena,히스메나
Hismena AS,히스메나 AS
Heena,히이나
Heena AS,히이나 AS
Violet Lancer (Another Style),보라 의상의 창술사
Lovinia AS,라비나
Cerius AS,세리에스
Hismena ES,히스메나
Porcelain Pixie (Another Style),백자의 마인
Silver Striker (Another Style),은빛을 휘감은 번개술사
Dream Weaver (Another Style),꿈의 음유 시인
Myrus ES,뮬루스
Black Clad Sw. (Another Style),검은 옷의 칼잡이
Dark Devourer,어둠 잠식의 몽마
Mare,메어
Spirika,우유체리카
Glenn,글렌
Meryt,메릿
Garnet,가넷
Steiner,슈타이너
Verdanta,베르단타
Vivi,비비
Zidane,지단
Clughorn,클러그혼
Mildy,밀디
Nina,니나
Vares,바레스
Gunce (Another Style),건스 AS
Jilya,지르야
Laika,라이카
Kuramaru,쿠라마루
Tetra (Another Style),테트라 AS
Kumos (Another Style),큐모스 AS
Iridian (Attack),라이리스(공격)
Iridian (Defense),라이리스(방어)
Iridian (Heal),라이리스(지원)
Moke,모케
Gunce,건스
Hyuga,휴우가
Limil,릴레노
Pisce,피스케
Kumos,큐모스
Korobo,코로보
Tetra,테트라
Mordy,모르디
Minimander,올챙이맨더
Lord Ukulele,우쿨렐레 님
